,file_path,intrinsic_dimensions,k1,k2
0,/oscillation/T2_Data4_Test.txt,0.12734093123300516,30,40
1,/bgLV/I3/bgLV_B98_T2_fixed.txt,1.1759675129188416,10,20
2,/bgLV/I1/bgLV_B98_T2_fixed.txt,1.2722189668405626,10,20
3,/bgLV/I3/bgLV_B97_T3_fixed.txt,1.6198374449292094,10,20
4,/bgLV/I2/bgLV_B98_T2_fixed.txt,1.6457093525900326,10,20
5,/bgLV/I1/bgLV_B97_T3_fixed.txt,1.6517436553947606,10,20
6,/bgLV/I2/bgLV_B97_T3_fixed.txt,1.8402735479268408,10,20
7,/bgLV/I1/bgLV_B95_T5_fixed.txt,1.8446328975903563,10,20
8,/bgLV/I2/bgLV_B95_T5_fixed.txt,1.9007542634233785,10,20
9,/bgLV/I3/bgLV_B95_T5_fixed.txt,2.0133158424409103,10,20
10,/bgLV/I4/bgLV_B48_T2_fixed.txt,2.020657792674395,10,20
11,/bgLV/I4/bgLV_B47_T3_fixed.txt,2.052352484375421,10,20
12,/bgLV/I2/bgLV_B92_T8_fixed.txt,2.0919137953206097,10,20
13,/bgLV/I10/bgLV_B8_T2_fixed.txt,2.1093456197280096,10,20
14,/bgLV/I7/bgLV_B18_T2_fixed.txt,2.1290198861647176,10,20
15,/dgLV/I4/dgLV_B98_T2_fixed.txt,2.1458473117397556,10,20
16,/dgLV/I5/dgLV_B98_T2_fixed.txt,2.1458473117397556,10,20
17,/dgLV/I3/dgLV_B98_T2_fixed.txt,2.1519497841977664,10,20
18,/bgLV/I0/bgLV_B98_T2_fixed.txt,2.1548671058112863,10,20
19,/bgLV/I1/bgLV_B96_T4_random.txt,2.1781603040373936,10,20
20,/bgLV/I1/bgLV_B92_T8_fixed.txt,2.1798276428224654,10,20
21,/bgLV/I3/bgLV_B92_T8_fixed.txt,2.2549134360614063,10,20
22,/dgLV/I2/dgLV_B98_T2_fixed.txt,2.2589335469707263,10,20
23,/bgLV/I7/bgLV_B18_T2_binary.txt,2.2779462725415898,1020,1030
24,/bgLV/I4/bgLV_B45_T5_fixed.txt,2.280801127602519,10,20
25,/bgLV/I2/bgLV_B90_T10_fixed.txt,2.28725757107551,10,20
26,/bgLV/I4/bgLV_B46_T4_fixed.txt,2.3173460421928525,10,20
27,/sgLV/I3/sgLV_B98_T2_fixed.txt,2.327868634060419,20,30
28,/bgLV/I1/bgLV_B90_T10_fixed.txt,2.3615146722940166,10,20
29,/bgLV/I0/bgLV_B97_T3_fixed.txt,2.432514735498313,10,20
30,/sgLV/I2/sgLV_B98_T2_fixed.txt,2.5150044147981543,20,30
31,/bgLV/I3/bgLV_B90_T10_fixed.txt,2.5194529122476443,10,20
32,/dgLV/I1/dgLV_B98_T2_fixed.txt,2.526323940197305,10,20
33,/bgLV/I1/bgLV_B97_T3_random.txt,2.621815276478266,10,20
34,/bgLV/I0/bgLV_B92_T8_fixed.txt,2.651214535127823,10,20
35,/sgLV/I2/sgLV_B97_T3_fixed.txt,2.66928953482186,10,20
36,/bgLV/I4/bgLV_B42_T8_fixed.txt,2.7293839340995656,10,20
37,/bgLV/I0/bgLV_B90_T10_fixed.txt,2.73258467449179,10,20
38,/bgLV/I3/bgLV_B98_T2_random.txt,2.749504632371332,10,20
39,/bgLV/I1/bgLV_B95_T5_random.txt,2.7515249977922633,10,20
40,/bgLV/I1/bgLV_B98_T2_random.txt,2.7529438862891933,10,20
41,/bgLV/I10/bgLV_B7_T3_fixed.txt,2.758889673991368,10,20
42,/sgLV/I2/sgLV_B95_T5_fixed.txt,2.8275132221642623,10,20
43,/bgLV/I1/bgLV_B92_T8_random.txt,2.827807884372798,10,20
44,/bgLV/I4/bgLV_B40_T10_fixed.txt,2.8670730679819716,10,20
45,/bgLV/I0/bgLV_B96_T4_fixed.txt,2.892331272047935,10,20
46,/bgLV/I7/bgLV_B17_T3_fixed.txt,2.901901930924728,10,20
47,/bgLV/I7/bgLV_B12_T8_fixed.txt,2.9459016385865437,10,20
48,/bgLV/I2/bgLV_B95_T5_random.txt,2.9982860940766654,10,20
49,/sgLV/I3/sgLV_B91_T9_fixed.txt,3.0121833604826658,10,20
50,/bgLV/I7/bgLV_B15_T5_fixed.txt,3.0212268631490744,10,20
51,/bgLV/I1/bgLV_B90_T10_random.txt,3.062426957026629,10,20
52,/bgLV/I7/bgLV_B16_T4_fixed.txt,3.0654643043443817,10,20
53,/bgLV/I11/bgLV_B2_T8_random.txt,3.091870076191492,10,20
54,/bgLV/I11/bgLV_B0_T10_random.txt,3.104176593038258,10,20
55,/sgLV/I2/sgLV_B91_T9_fixed.txt,3.122687906768945,10,20
56,/bgLV/I0/bgLV_B95_T5_fixed.txt,3.129923430722481,10,20
57,/bgLV/I9/bgLV_B18_T2_random.txt,3.1457641420350995,10,20
58,/bgLV/I10/bgLV_B6_T4_fixed.txt,3.1563807346541966,10,20
59,/bgLV/I7/bgLV_B10_T10_fixed.txt,3.1655642557417996,10,20
60,/bgLV/I10/bgLV_B5_T5_fixed.txt,3.187872674977714,10,20
61,/sgLV/I3/sgLV_B97_T3_fixed.txt,3.1937493882066876,10,20
62,/bgLV/I2/bgLV_B98_T2_random.txt,3.2144073529406665,10,20
63,/bgLV/I4/bgLV_B47_T3_random.txt,3.2252790738347827,10,20
64,/bgLV/I2/bgLV_B92_T8_random.txt,3.241338558110392,10,20
65,/bgLV/I3/bgLV_B97_T3_random.txt,3.2457078400458386,10,20
66,/bgLV/I2/bgLV_B90_T10_random.txt,3.246056509684938,10,20
67,/bgLV/I4/bgLV_B45_T5_random.txt,3.26129622094261,10,20
68,/bgLV/I9/bgLV_B17_T3_random.txt,3.2672817636267184,10,20
69,/sgLV/I3/sgLV_B95_T5_fixed.txt,3.288336742598459,10,20
70,/bgLV/I10/bgLV_B2_T8_random.txt,3.294575939810903,10,20
71,/dgLV/I2/dgLV_B97_T3_fixed.txt,3.305117025011214,10,20
72,/bgLV/I6/bgLV_B47_T3_random.txt,3.307855698889327,10,20
73,/bgLV/I2/bgLV_B97_T3_random.txt,3.313147724367228,10,20
74,/bgLV/I3/bgLV_B95_T5_random.txt,3.313401140369945,10,20
