,id,rmse,experiment,input_type,tgt_type,test_rep
74,water-b-5_raw_segment128,0.2180591591058619,water-b,raw,segment128,5
75,water-b-5_latent_latent,0.17860659558737102,water-b,latent,latent,5
76,water-b-6_raw_segment128,0.21373187382030198,water-b,raw,segment128,6
77,water-b-6_latent_latent,0.202114415286094,water-b,latent,latent,6
78,water-b-7_raw_segment128,0.16581232652721656,water-b,raw,segment128,7
79,water-b-7_latent_latent,0.19228189530558176,water-b,latent,latent,7
80,water-c-1_raw_segment128,0.21450599705092485,water-c,raw,segment128,1
81,water-c-1_latent_latent,0.18271325377582767,water-c,latent,latent,1
82,water-c-2_raw_segment128,0.12606075713680923,water-c,raw,segment128,2
83,water-c-2_latent_latent,0.2089599465884926,water-c,latent,latent,2
84,water-c-3_raw_segment128,0.22094075790068549,water-c,raw,segment128,3
85,water-c-3_latent_latent,0.2654186569825761,water-c,latent,latent,3
86,water-c-4_raw_segment128,0.20545962900813794,water-c,raw,segment128,4
87,water-c-4_latent_latent,0.2514252682800929,water-c,latent,latent,4
88,water-c-5_raw_segment128,0.4841999718287643,water-c,raw,segment128,5
89,water-c-5_latent_latent,0.11636539174936758,water-c,latent,latent,5
90,water-c-6_raw_segment128,0.2919962825669065,water-c,raw,segment128,6
91,water-c-6_latent_latent,0.3144884849759048,water-c,latent,latent,6
92,water-c-7_raw_segment128,0.43002503765850547,water-c,raw,segment128,7
93,water-c-7_latent_latent,0.22972436336909174,water-c,latent,latent,7
94,water-c-8_raw_segment128,0.15731319577433145,water-c,raw,segment128,8
95,water-c-8_latent_latent,0.19466143927644944,water-c,latent,latent,8
