,model_name,model_type,z_dim,r2_train_all,r2_test_all,r2_train_sim,r2_test_sim,r2_train_exp,r2_test_exp
0,2025-02-21_conli_2_128_2024-08-16_all,A7X,2,0.95000540052896,0.9416541647994088,0.9383471624710784,0.9359599762028776,0.9512375975302132,0.9450991524034892
0,2025-02-27_conli_2_128_2024-08-16_experimental,A7X,2,0.9380370329898728,0.9304750496898327,0.8718868196921671,0.8692091103099628,0.9552308327320848,0.9453220544132632
0,2025-01-30_conli_2_128_2024-08-16_all,A7X,2,0.951215819796298,0.943077568056946,0.9407761147011942,0.9387705769056528,0.9522752150338152,0.9456111178482136
0,2025-01-28_conli_2_128_2024-08-16_all,A7X,2,0.949011602387091,0.9378990669993827,0.9343248788029048,0.9327175633851292,0.9508578125329448,0.9419592662406768
0,2025-02-27_conli_2_128_2024-08-16_simulation,A7X,2,0.8674166940965373,0.8664110170100034,0.9442937848327488,0.9392570766047044,0.8428141742048458,0.8419441456508636
0,2025-02-21_conli_4_128_2024-08-16_all,A7X,4,0.9741372109556048,0.9692442350246524,0.9747461943808596,0.9740809717039184,0.9730847743886828,0.968144624943217
0,2025-02-27_conli_4_128_2024-08-16_experimental,A7X,4,0.9678726497437204,0.9637878711192014,0.9493664068168504,0.9483766722346798,0.9722932579717368,0.9671630179412918
0,2025-01-30_conli_4_128_2024-08-16_all,A7X,4,0.9752285103320008,0.9703440802059744,0.9761272270053146,0.975402897143552,0.9741485426883384,0.9691007644313616
0,2025-02-27_conli_4_128_2024-08-16_simulation,A7X,4,0.928818667075717,0.9285799080734448,0.9791863129568044,0.9745451517408124,0.9131597515870112,0.9131277001906172
0,2025-02-21_conli_6_128_2024-08-16_all,A7X,6,0.9853275406325605,0.98216100038222,0.9879056210381896,0.9876865133817976,0.984143996009778,0.9805906933329724
0,2025-01-30_conli_6_128_2024-08-16_all,A7X,6,0.9857586120190344,0.98202151951477,0.9879403224175654,0.9876341296904948,0.9846686392321444,0.9805368977331632
0,2025-02-27_conli_6_128_2024-08-16_simulation,A7X,6,0.9566248806302456,0.9563810767817396,0.991310788993338,0.990040053149687,0.9458793639961088,0.9457165578760944
0,2025-01-28_conli_6_128_2024-08-16_all,A7X,6,0.9823183466080656,0.9807846947392624,0.98648324640037,0.986215544823516,0.9806693276313836,0.9789917268298184
0,2025-02-27_conli_6_128_2024-08-16_experimental,A7X,6,0.984086132828038,0.979903937608848,0.9752800057957892,0.975042787275042,0.9861511421827932,0.9808447988409278
0,2025-02-21_conli_8_128_2024-08-16_all,A7X,8,0.9906652302241544,0.9880284998191562,0.993242193652684,0.9931301040390522,0.9896374380753644,0.9866195001446272
0,2025-02-27_conli_8_128_2024-08-16_experimental,A7X,8,0.9891691128645016,0.9861516089234532,0.9837386621059474,0.9837089051068588,0.99040425941305,0.9865953875535528
0,2025-02-27_conli_8_128_2024-08-16_simulation,A7X,8,0.9680802722922814,0.9678922236453482,0.9932501121956668,0.9931646091074428,0.9602217407036312,0.9601068050187428
0,2025-01-28_conli_8_128_2024-08-16_all,A7X,8,0.9892328848697348,0.9880109237036616,0.99308793128122,0.992916029108608,0.9878582274820428,0.9864674576342972
0,2025-02-27_conli_12_128_2024-08-16_experimental,A7X,12,0.9890878576405936,0.9867584269485898,0.9857434645605284,0.985606082209728,0.9897434187767672,0.9868244504575868
0,2025-01-28_conli_12_128_2024-08-16_all,A7X,12,0.3721489810184566,0.3711320005320141,0.3362846430591737,0.3322620785976843,0.3670175830736359,0.3660264858019176
0,2025-01-30_conli_12_128_2024-08-16_all,A7X,12,0.9910241854913616,0.9885785931418912,0.9936124862329644,0.9934426932362974,0.9900111752547652,0.9872123726503976
0,2025-02-21_conli_12_128_2024-08-16_all,A7X,12,0.9909010849341876,0.9885921706555316,0.9935647676668022,0.9934922601879368,0.9898553875377848,0.9872502353619704
0,2025-02-27_conli_12_128_2024-08-16_simulation,A7X,12,0.9565725361128012,0.9562501196760818,0.9881462716988374,0.9877392340688356,0.9466473578339564,0.946396307525665
0,2025-02-27_conli_16_128_2024-08-16_simulation,A7X,16,0.9697682533616252,0.9696416287343066,0.995346939520594,0.995065511269074,0.9618516693837704,0.9617947200199628
0,2025-01-28_conli_16_128_2024-08-16_all,A7X,16,0.9891500211696648,0.9878013033423844,0.9927551732563455,0.9925146634965708,0.9878384538706438,0.9863264528900928
0,2025-02-21_conli_16_128_2024-08-16_all,A7X,16,0.9909037241554466,0.988517574732985,0.99365533084878,0.9934601450604246,0.9898394303845924,0.987137917421772
0,2025-01-30_conli_16_128_2024-08-16_all,A7X,16,0.9880166108806874,0.9851826387685528,0.991132967702829,0.9909408349341478,0.9867604773973648,0.9835698102085356
0,2025-02-27_conli_16_128_2024-08-16_experimental,A7X,16,0.9893608963821434,0.9865204678571292,0.9847664378125052,0.9847498020534904,0.9903766896878388,0.9867430398922789
0,2025-01-30_conli_20_128_2024-08-16_all,A7X,20,0.9904364940015008,0.9883443052393616,0.9934035931275992,0.9932792883930646,0.9892992735375026,0.9869663717905794
0,2025-02-27_conli_20_128_2024-08-16_experimental,A7X,20,0.9894575877741668,0.9871062656241426,0.985420577393496,0.9852843101468276,0.9903187599499522,0.9873590620281864
0,2025-02-21_conli_20_128_2024-08-16_all,A7X,20,0.989437014746426,0.9869073707466486,0.9921697503452772,0.9920132322140424,0.9883329296574164,0.9854798938955456
0,2025-02-27_conli_20_128_2024-08-16_simulation,A7X,20,0.9696014525091878,0.969439026766736,0.9944170241925224,0.9942832404648564,0.9618860697227872,0.9617847608073702
0,2025-01-28_conli_20_128_2024-08-16_all,A7X,20,0.9886826733760288,0.9875013917892044,0.9926311250985314,0.9925644158945238,0.9872650792210708,0.9859144821701422
0,2025-02-27_conli_24_128_2024-08-16_simulation,A7X,24,0.9673156850898644,0.967124983999604,0.9937038786180667,0.9935738372364256,0.9591041192041888,0.9589618439623028
0,2025-01-30_conli_24_128_2024-08-16_all,A7X,24,0.9909482591621112,0.988217304841938,0.993365989567522,0.9932514661666118,0.9899622545877363,0.9868711548975744
0,2025-02-27_conli_24_128_2024-08-16_experimental,A7X,24,0.988824406545127,0.9851338000650466,0.981983916817704,0.9816814347885064,0.9904642460679566,0.9857657010909168
0,2025-02-21_conli_24_128_2024-08-16_all,A7X,24,0.9907179300121192,0.9883473620535002,0.993476345262057,0.9933813670765714,0.9896464533991352,0.9869409515531732
0,2025-01-28_conli_24_128_2024-08-16_all,A7X,24,0.9891102646993524,0.987986807784474,0.993034638703633,0.9928793406238092,0.9877134596217544,0.9864449469266868
0,2025-02-21_conli_32_128_2024-08-16_all,A7X,32,0.9909628548282826,0.9884523968272512,0.9935169656278954,0.99347474673125,0.9899429463320776,0.9870990306654264
0,2025-02-27_conli_32_128_2024-08-16_simulation,A7X,32,0.9641762608485338,0.9639325534848968,0.9933102091975812,0.9928147866818294,0.9551342768316976,0.9549439514034396
0,microBERT_model_task_id_143.pth,MCR,2,0.0420940399273025,0.041435825556479,-0.0332359840630485,-0.0330543087199988,0.0396978576014345,0.0393209947264111
0,microBERT_model_task_id_142.pth,MCR,2,0.0429317083766327,0.0422785039109663,-0.0382758521489181,-0.0382208479692542,0.0422322113402311,0.0417558698832145
0,microBERT_model_task_id_215.pth,MCR,2,0.0422413510173429,0.0415519608323826,-0.0370140596343391,-0.0368289428425965,0.0409512792410262,0.040523340360673
0,microBERT_model_task_id_71.pth,MCR,2,0.0415543342027319,0.0408983591380773,-0.03287607460612,-0.0326901028606956,0.0388911809426375,0.0385237608870639
0,microBERT_model_task_id_69.pth,MCR,2,0.0409816476698948,0.0402271494479562,-0.0375499109074095,-0.0372312434514801,0.0394469571208493,0.0389513583247987
0,microBERT_model_task_id_70.pth,MCR,2,0.041623186389012,0.0409559059002244,-0.0350083982386852,-0.0348242465309098,0.0395804221901917,0.0391910987597665
0,microBERT_model_task_id_141.pth,MCR,2,0.0421138336837683,0.0414449049244914,-0.0350021348817468,-0.0348240822397092,0.0402202732797696,0.0398234921704969
0,microBERT_model_task_id_213.pth,MCR,2,0.042250871176177,0.041572663120098,-0.0358658311464179,-0.035686437632185,0.0406420129325774,0.0402289524526652
