,day,n_data,r2_raw,r2_lat
0,29,28,0.6201395175751765,0.5317019449541283
1,29,14,0.7846730190135034,0.5691847281553399
2,29,7,0.6299634368303104,0.5775588369963369
3,29,4,0.5807907610464931,0.44713053709856043
4,29,2,0.310704002503859,0.40347786501837635
5,30,28,0.7306888831040363,0.5072033805177874
6,30,14,0.7972506304896829,0.5826633528836755
7,30,7,0.5226343496987906,0.5687458375806997
8,30,4,0.5148651827800268,0.37559524825722
9,30,2,0.24020142797817756,0.28099492900608525
10,31,28,0.7732369579903324,0.5096330249768734
11,31,14,0.7803965591922535,0.5263727431566688
12,31,7,0.644277444815293,0.6056504700419072
13,31,4,0.6798688162729809,0.2907380156075807
14,31,2,0.5555848426759762,0.2941522468142188
15,32,28,0.7218321104589311,0.49973543859649106
16,32,14,0.7609270940383844,0.4807192083252285
17,32,7,0.7629573706469823,0.5416740319160807
18,32,4,0.4038338411898813,0.31975710916909417
19,32,2,0.26093180078452516,0.2504820000000002
20,33,28,0.6315319930460748,0.4334565628476086
21,33,14,0.32457515136638604,0.4206114697802198
22,33,7,0.5861087724889973,0.47699759615384607
23,33,4,0.4128471093324547,0.3190941043083899
24,33,2,0.3361217626369105,0.34708954715696305
25,34,28,0.5615993272077151,0.3990693837535014
26,34,14,0.6781437376254476,0.4248220467032967
27,34,7,0.6341713642164553,0.5166399114631873
28,34,4,0.6623211941260294,0.3095401428571428
29,34,2,0.4228242498379142,0.3288681849551415
30,35,28,0.34849474918185597,0.39760857439969766
31,35,14,0.6143298472001731,0.42917904592943024
32,35,7,0.41938356953933964,0.4834084274952918
33,35,4,0.291971182203854,0.19358071428571444
34,35,2,-0.03710032157087384,0.2031031746031745
35,36,28,0.5749830074409479,0.37057958095238086
36,36,14,0.7270731590793154,0.4091637931034483
37,36,7,0.6799603252099438,0.47436064199305317
38,36,4,0.48778542888197973,0.21094117647058852
39,36,2,0.4934889076334782,0.083869986048134
40,37,28,0.46675715786989924,0.3661801029962546
41,37,14,0.7047470103396983,0.427460107334526
42,37,7,0.5377658215316783,0.4402835507921715
43,37,4,0.5145951165722152,0.29413137755102037
44,37,2,0.549281382045012,0.29443802966101684
45,38,28,0.4422215162027068,0.3813460666666667
46,38,14,-0.0035905356747885087,0.3977828065990857
47,38,7,0.5454163776584978,0.42246127589453863
48,38,4,0.3422301465820238,0.3294337121212121
49,38,2,0.10382534541161237,0.2594213211600429
50,39,28,0.4642128276378237,0.37815829787234045
51,39,14,0.12831979527225112,0.3472527597082594
52,39,7,0.6037219585256395,0.4814552796528445
53,39,4,0.20406542487307988,0.13982488738738774
54,39,2,0.07721381544741224,0.2873201800847457
55,40,28,0.4368762021670688,0.2721394214407262
56,40,14,0.49074569312616734,0.35879047571054234
57,40,7,0.5590607577990028,0.4273715415019764
58,40,4,0.4540182231584582,0.32398534798534806
59,40,2,0.5096958005202805,0.24066627272727292
60,41,28,0.5347217676179221,0.34894272286821715
61,41,14,0.5228832507295347,0.40656992333195197
62,41,7,0.6269929070369993,0.3628791384615385
63,41,4,0.32511718680938917,0.3109198666859876
64,41,2,0.46307128233345773,0.3262383637665591
65,42,28,0.4651902122656798,0.3746532467532466
66,42,14,-0.3808385148943634,0.40468805894308935
67,42,7,0.5782572016161629,0.44803112110986143
68,42,4,0.24951191938825534,0.1683794689215249
69,42,2,0.010811483287897161,0.2616078589330467
70,43,28,0.4857635075863529,0.28803299418604644
71,43,14,0.30608952330165895,0.3361971508495649
72,43,7,0.44897128645669815,0.39913315185229015
73,43,4,0.3876513165594879,0.25675750915750917
74,43,2,0.2059882878782504,0.2328977814448111
75,44,28,0.53414445396253,0.3206624926971763
76,44,14,0.08015874882678264,0.25817748917748906
77,44,7,0.6949355917039157,0.39671141107361596
78,44,4,0.3503481131649885,0.227622549019608
79,44,2,0.4715541447828069,0.27543699999999993
80,45,28,0.2857124119474278,0.26127912425580946
81,45,14,0.513682712278646,0.25919853658536585
82,45,7,0.6349942223088731,0.35729235452523134
83,45,4,0.24155730766978867,0.1892456293706294
84,45,2,0.4004321246641389,0.17438144420903956
85,46,28,0.4327963270018219,0.3073217399654312
86,46,14,0.5270900236130649,0.30771516831284007
87,46,7,0.6747779684270019,0.40686058162267846
88,46,4,0.3182594612247137,0.27125371428571443
89,46,2,0.28756209353167905,0.1587372106049293
90,47,28,0.43299106967008416,0.3467040786749481
91,47,14,0.605871959195315,0.3419551127819549
92,47,7,0.5909277893283418,0.35703756410256415
93,47,4,0.4181940947136573,0.29981695388914764
94,47,2,0.43854729971717177,0.2506457917830075
95,48,28,0.5884212232419563,0.2994686131386859
96,48,14,0.5982918406389488,0.3575522193768672
97,48,7,0.7481812971477462,0.34372818704284225
98,48,4,0.33487834829452834,0.3564730603448276
99,48,2,0.47330660922948,0.15423315602836896
100,49,28,0.36156189910586867,0.3739579166666668
101,49,14,0.28489530708486,0.35202992700729907
102,49,7,0.5954958249457614,0.38871432461873634
103,49,4,0.5382926253225577,0.3374939335887611
104,49,2,0.4569264279792187,0.2862288083538084
105,50,28,0.45670298670615506,0.3584372580995868
106,50,14,0.5222340304195889,0.413686518469365
107,50,7,0.31562331685777223,0.45535716276477156
108,50,4,0.27066893948067383,0.4389271708683472
109,50,2,0.2793269884116395,0.29881432230102456
110,51,28,0.6157899827351607,0.3772081262939956
111,51,14,0.7227113979147175,0.36860796628029513
112,51,7,0.7536256741208683,0.40089223057644097
113,51,4,0.47368533489193065,0.34266940815997415
114,51,2,0.5190924881735204,0.2446773049645391
115,52,28,0.5898086607303759,0.3701518762343645
116,52,14,0.752214065095039,0.3789028088578087
117,52,7,0.6807216878101614,0.42467174495697557
118,52,4,0.4693922020543363,0.30593320964749526
119,52,2,0.645122245695783,0.3680729034976823
120,53,28,0.4258247746740018,0.38544964889181466
121,53,14,0.43199089016402026,0.4297607382550336
122,53,7,0.44423565944889976,0.45270154870458823
123,53,4,0.2973264252116459,0.3789575736325387
124,53,2,0.47890334190917383,0.4628688708951867
125,54,28,0.29105538414796184,0.31729421127331703
