,train_size_pct,train_size,cross_val,raw_accuracy,latent_accuracy,raw_accuracy_std,latent_accuracy_std
0,1.25,44.0,2.0,0.5224612995018371,0.5219754039411766,0.08444152118767342,0.07626708435879168
1,12.5,443.0,2.0,0.6749927754698575,0.7014555250237191,0.024251098000428364,0.023832473599107725
2,25.0,886.0,2.0,0.7300066740195543,0.7482391364380439,0.014059456791920008,0.016953036519688266
3,37.5,1328.8,2.0,0.7726499708464318,0.7926940509225666,0.014258054787114796,0.0059050122253833095
4,50.0,1772.8,2.0,0.7988894713841974,0.8214230631068202,0.013053074799190762,0.005671923819486207
5,62.5,2215.8,2.0,0.8158922416462342,0.8398171861495399,0.01503833212067599,0.011123313326084731
6,75.0,2658.6,2.0,0.8306169472105089,0.866330004968167,0.012663658371219678,0.009545910771898881
7,87.5,3101.6,2.0,0.8448248639316367,0.8796358243995119,0.006991894470971688,0.015036946118082973
8,100.0,3545.6,2.0,0.8589783453993636,0.8900437302095439,0.009722743490314581,0.008776693129362067
